Categorie_template_2,Categorie_template_1,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34
Whole Loan,Requirements not met,"0,4941407088","0,2364262352","0,1214067441","0,1023974515","0,5341593078","0,9321461506","0,5461550431","0,1327719876","0,918061034","0,3301712163","0,8581256514","0,09407246391","0,1681997313","0,8110092154","0,5276059212","0,9438073492","0,6404357206","0,7073834974","0,3536777773","0,2756302386","0,287469642","0,174038887","0,7361596498","0,6217387814","0,4093406699","0,5821954119","0,1232660312","0,9344164148","0,540899849","0,9597983254","0,03723634096","0,6804634248","0,3575151531","0,1129711237"
,loan splitting approach; of which:,"0,871894995","0,3010924833","0,9424048036","0,5251636658","0,08216019824","0,1365489403","0,6161939681","0,3195617468","0,7773354846","0,9491896102","0,5232566015","0,2622725237","0,9311142788","0,2492578701","0,1761139086","0,07711784917","0,2633615489","0,4494636656","0,2446478867","0,2816188884","0,961945711","0,8353718243","0,7191626558","0,0173798","0,1979561241","0,7219446722","0,360193598","0,2964384972","0,6800640709","0,6574757117","0,4371703498","0,597574672","0,7955432616","0,03322109943"
Loan Splitting,exposures ≤ 55% of property value,"0,09822035056","0,6665799671","0,2366865624","0,9087750396","0,390924284","0,8484591077","0,1781552524","0,8341788911","0,7864866785","0,2894915913","0,9782727414","0,776421882","0,8575351947","0,613988067","0,7550441846","0,2640581447","0,09685527535","0,5644908699","0,584795146","0,04804473426","0,5370304889","0,5241550585","0,9980119926","0,5117707329","0,7424554362","0,1405134863","0,6584224037","0,6331083487","0,1189421013","0,2460912819","0,8370404155","0,5831111487","0,6707112976","0,9637173135"
Loan Splitting,exposures > 55% of property value,"0,007163478052","0,2784197384","0,9154533635","0,9508301273","0,9369856387","0,5389212467","0,1877938986","0,1726947105","0,630100571","0,07443396021","0,528636752","0,841397365","0,3436412675","0,9568994235","0,9065124105","0,7039720914","0,7253248193","0,06258565436","0,3524662381","0,6468610401","0,5922477958","0,1548932041","0,8123844597","0,3609219383","0,08273332125","0,1559552422","0,3337520251","0,1450131918","0,1950542316","0,5214911786","0,8335764443","0,3744317958","0,6067395393","0,8335680106"
Loan Splitting,Requirements not met,"0,7866144941","0,07185954735","0,6425336608","0,4465159255","0,2774755078","0,6323079921","0,4480523527","0,2834954097","0,01352502003","0,5527110074","0,3233258194","0,3096911268","0,3233978225","0,7334812024","0,4000702403","0,9990331922","0,2841944625","0,868790372","0,9726535397","0,08056286954","0,1486989453","0,562115338","0,8845594234","0,2209250438","0,9552263465","0,5781563896","0,1751940152","0,01579482497","0,1622933027","0,2649723528","0,5347950401","0,8148049998","0,0380009397","0,7006839582"
,general commercial real estate; of which:,"0,8475995305","0,6883648765","0,9342450276","0,5069170565","0,5592582575","0,1698131109","0,3066233057","0,1284335285","0,01865795414","0,7488791545","0,5116058474","0,6163705156","0,655246772","0,6209409457","0,2050893076","0,565650537","0,9481535329","0,03499706411","0,3672917264","0,3468205895","0,3993137889","0,1609868838","0,6668913519","0,8858119863","0,214440673","0,3899993006","0,6381889294","0,7533744014","0,1377938258","0,2616153311","0,4517196076","0,5343074491","0,5947075646","0,3659482302"
,whole loan approach; of which:,"0,6239328375","0,183496665","0,6955296028","0,4717084819","0,960461193","0,819476635","0,1176445813","0,1818741476","0,02040114811","0,6682274733","0,2433883457","0,5771984175","0,2263528238","0,798022583","0,01869218208","0,4488940622","0,2104482071","0,1587842459","0,7353782923","0,5786273233","0,1328640398","0,4273071826","0,3984344716","0,2358703085","0,4065511059","0,5016263322","0,8010953667","0,9571640502","0,2939092416","0,3058141243","0,1430880399","0,9858632247","0,6819565154","0,1651256584"
Whole Loan,LTV ≤ 60%,"0,5851652746","0,4132063411","0,6588279978","0,6301586914","0,5008842745","0,1635830894","0,8336885139","0,5553502678","0,5495922735","0,2118892393","0,519906701","0,005006132049","0,8506977612","0,6482964568","0,01345638978","0,5376022956","0,03346641735","0,3115197426","0,4857891715","0,1433218158","0,5112055091","0,2471470972","0,2083347489","0,6253604669","0,3227443012","0,1351891697","0,08155624264","0,2737709252","0,7083552791","0,01244127888","0,6967402233","0,7223791783","0,3733937285","0,971694948"
Whole Loan,LTV > 60%,"0,8745664331","0,4176504456","0,9288921939","0,9098035543","0,2167887196","0,6838573098","0,9997196625","0,425267421","0,4307786092","0,3684091742","0,6724681161","0,7576258901","0,7918223097","0,984272223","0,6665362526","0,6218053623","0,6239732699","0,1136495545","0,8476549163","0,9020260917","0,938914478","0,2938336597","0,4587620702","0,2687398428","0,9187352755","0,8747892092","0,9897907849","0,4110510032","0,6834499349","0,5512552297","0,7858883379","0,1562578702","0,8280291237","0,1989140335"
Whole Loan,Requirements not met,"0,4587315055","0,5337880057","0,9563314157","0,2388920859","0,6867235265","0,5770161461","0,3284223757","0,5274717905","0,6374262008","0,7175579615","0,7325256858","0,442736316","0,7203374271","0,6820918354","0,8715404813","0,3798240721","0,6361684207","0,8367454227","0,2184460201","0,2435564855","0,3816900823","0,9214703915","0,7354791651","0,5251386865","0,288015861","0,4454863717","0,2968686859","0,6418117797","0,8947204595","0,6772958234","0,03012312481","0,4519634084","0,5764500209","0,9723426463"
,loan splitting approach; of which:,"0,1270645736","0,09665359238","0,4473609665","0,5727597187","0,3032670153","0,08485404332","0,5983469277","0,8892258556","0,7026502661","0,4243543947","0,2518896564","0,326203634","0,7814679391","0,09739937435","0,2854822753","0,4670884451","0,327686009","0,1382106189","0,3070247345","0,08920933594","0,3137260736","0,1796233946","0,2000817846","0,008422749881","0,8582142589","0,748385366","0,6485844441","0,6903887953","0,6892226439","0,0924730278","0,606215579","0,4572959739","0,9985602549","0,828664337"
Loan Splitting,exposures ≤ 55% of property value,"0,07615048876","0,8549852952","0,09721287133","0,5485233822","0,306184171","0,5605774315","0,6908563169","0,8733657997","0,2260263436","0,2493150816","0,05510296509","0,03659058302","0,76451759","0,5398118503","0,4400066587","0,5270717781","0,909183711","0,1609802856","0,6435027529","0,9775015903","0,7039890588","0,6764183519","0,5613602098","0,9440315454","0,7478880559","0,3930126488","0,9541949584","0,8951086519","0,1708899651","0,09673278783","0,7974193122","0,07054796329","0,7567350548","0,771287434"
Loan Splitting,exposures > 55% of property value,"0,6470696057","0,7675699806","0,6753291086","0,7964478649","0,02331251791","0,247464769","0,183117937","0,1000383613","0,5795126568","0,8979249414","0,7217297809","0,2047804419","0,6473886875","0,9965641842","0,5224291609","0,5218358917","0,6716414432","0,9061942912","0,3562345907","0,3453623336","0,1599780821","0,002621011959","0,09397599477","0,03344362639","0,2604067169","0,5394109207","0,7340314438","0,694060171","0,9115111249","0,9776134499","0,9552682355","0,05105695414","0,71160994","0,6414307327"
Loan Splitting,Requirements not met,"0,0615631917","0,7346234045","0,07129216018","0,8461746139","0,0984215525","0,08798416569","0,9952207747","0,7931931278","0,1197640804","0,9368313561","0,715306194","0,4698569083","0,5194720059","0,8072508142","0,3673893242","0,2208703531","0,05272964866","0,8385578423","0,2639853953","0,3542505375","0,087587156","0,2972331739","0,8851564879","0,2580411419","0,5329349537","0,1178030593","0,2339824239","0,4490760322","0,7579836807","0,5496736237","0,8624463715","0,314931676","0,3388515976","0,4547496116"
,income producing residential real estate; of which:,"0,4495466483","0,9390028054","0,8030424184","0,512968064","0,7173707928","0,178832469","0,4884473383","0,7557572441","0,5070332528","0,738289009","0,6833521226","0,1970921379","0,7951052774","0,4558383881","0,6624669593","0,6680057227","0,1164946382","0,2839341357","0,4419173038","0,05396256393","0,9166596023","0,3658331441","0,3920419453","0,7749323632","0,5408131573","0,9185990349","0,504591991","0,1780506934","0,5856122178","0,4839692193","0,3157039697","0,2780782153","0,4921466229","0,5198943871"
Income Producing RE,LTV ≤ 50%,"0,3425789458","0,01908840984","0,4721075393","0,2759399173","0,05821905266","0,3443108592","0,3279289768","0,3888343358","0,0714204339","0,05996022709","0,05629263301","0,9282899159","0,5180641619","0,3466394036","0,2700400906","0,03858804228","0,4836056501","0,1912008566","0,4048114561","0,6721307791","0,09027205679","0,03823144408","0,2635473283","0,9230876535","0,1640680453","0,9315704555","0,5391906928","0,4058391629","0,9241250708","0,01246852356","0,9754092263","0,5160165403","0,7355625207","0,909940156"
Income Producing RE,50% <LTV ≤ 60%,"0,09903943164","0,3734570647","0,7822674848","0,3162527555","0,8396924029","0,294764233","0,0633849261","0,308108434","0,2411807455","0,05029537175","0,2364963957","0,5662622271","0,2556193758","0,5233983467","0,1884332315","0,7855342549","0,6049993329","0,328620212","0,4371824476","0,8473979486","0,09989940537","0,4564041831","0,1670314026","0,4258952338","0,1471445795","0,8561304278","0,1666028124","0,9774067287","0,803253167","0,4669308879","0,09156323615","0,8488041874","0,08696002755","0,944965768"
Income Producing RE,60% <LTV ≤ 80%,"0,8457799265","0,4997008284","0,4347727671","0,2006345481","0,995226562","0,6473677422","0,9567122949","0,921363117","0,3382350806","0,4509567612","0,736901947","0,5433911767","0,6540988315","0,669081244","0,7447550043","0,7807754454","0,6431022952","0,704414092","0,6494589007","0,9954691872","0,7306169136","0,6583236323","0,9181447086","0,8988796575","0,414216378","0,07227432655","0,1164539127","0,2266436293","0,1378503163","0,9867598059","0,4643895918","0,9026426809","0,6038739152","0,07060683108"
Income Producing RE,80% <LTV ≤ 90%,"0,6648848181","0,9302448146","0,3688759228","0,09894121787","0,7019377118","0,9380126812","0,6090850626","0,1431487205","0,02953939941","0,4904365068","0,02250341296","0,8277129829","0,8237830856","0,9849332765","0,8991687994","0,3994642758","0,825123586","0,03250545516","0,7690276276","0,5130258693","0,1914351238","0,499946902","0,9610878945","0,3191765125","0,4974895742","0,7800199001","0,5515005712","0,1790872741","0,3456074032","0,2858496172","0,6443255408","0,2023394094","0,8618037509","0,4831651734"
Income Producing RE,90% <LTV ≤ 100%,"0,8758587548","0,03468339396","0,8242612368","0,9701898378","0,4101350572","0,3844414572","0,8251137033","0,6982635056","0,4919819199","0,3909318843","0,5023802853","0,8735430175","0,9814791232","0,5092997842","0,533852253","0,3786413378","0,6823698319","0,8666874054","0,8423801128","0,05023552457","0,1785227036","0,6786164479","0,1760934612","0,1022719016","0,8809701503","0,2082901617","0,1828426219","0,5047655357","0,8501283994","0,2653065723","0,08887770573","0,7390004122","0,4626876564","0,06546756011"
Income Producing RE,LTV > 100%,"0,02692291055","0,4359357366","0,5236234721","0,1201455286","0,3202127102","0,05625382916","0,3647006261","0,7471841749","0,2419624841","0,01845648721","0,7019495089","0,1408654084","0,5287344087","0,2026971084","0,2768329644","0,7103647313","0,3717508676","0,3751844438","0,2241598699","0,9279423952","0,5260771691","0,2843079097","0,2956045888","0,608531201","0,6049973551","0,638862916","0,1840227897","0,8475018537","0,2338079555","0,61550165","0,1408553392","0,06695340723","0,249949752","0,6880421908"
Income Producing RE,Requirements not met,"0,7840990385","0,04807208459","0,7315379448","0,4848812102","0,2343315306","0,5087321836","0,8174931978","0,1500629667","0,9365139214","0,2677529819","0,3753681668","0,6260784411","0,688677406","0,4592391746","0,152919974","0,7416435776","0,09692967756","0,9904030054","0,7728382495","0,1004872045","0,984970854","0,6529219074","0,8490087724","0,1205902973","0,3431193699","0,03107659591","0,7259811918","0,1161317623","0,6260819897","0,7954456258","0,2978482879","0,5992952962","0,5417109672","0,7492517737"
,income producing commercial real estate; of which:,"0,2495668721","0,8268306711","0,6954646936","0,5216455325","0,4061318667","0,1890620071","0,3757120949","0,8854126352","0,3756586469","0,6224481434","0,9041695146","0,01401885408","0,2843216619","0,5193757855","0,339586898","0,2504249535","0,3426103673","0,3362894476","0,2152888316","0,04796369918","0,142987161","0,799194104","0,3190048745","0,9806201594","0,7510908953","0,5294201702","0,311976186","0,5661066131","0,2007462992","0,1767175109","0,9797275773","0,01858404887","0,4688593622","0,3703778882"
Income Producing CRE,LTV ≤ 60%,"0,5344921307","0,438135265","0,1459521925","0,7904412744","0,1194904592","0,9821551188","0,932161009","0,7858036679","0,007992145002","0,05183638453","0,6478487526","0,9722836064","0,4621518045","0,3039779299","0,2429508692","0,9965342986","0,3010981401","0,01371745993","0,2349044879","0,2696268981","0,596676722","0,6766179005","0,3940747757","0,3015001744","0,168544339","0,6098812928","0,100557559","0,1332467378","0,2215413276","0,5853133184","0,0888192947","0,2773003124","0,8794001562","0,5081070843"
Income Producing CRE,60% < LTV ≤ 80%,"0,6245927721","0,8501296091","0,8086077794","0,5366317445","0,4070543601","0,7352846961","0,8923869174","0,6026331267","0,3821937536","0,9443245089","0,704933682","0,8935101382","0,5484458777","0,5439521793","0,9531243336","0,4836754202","0,269486624","0,424959623","0,4837897453","0,04128293988","0,3661779771","0,3001292489","0,8825292429","0,5741218159","0,4807727353","0,3766245151","0,2901730355","0,9097674535","0,611236726","0,643940136","0,805942304","0,732408955","0,3824913465","0,270240244"
Income Producing CRE,LTV > 80%,"0,6273032316","0,3758535749","0,8136807119","0,7820033992","0,9934226159","0,4519205247","0,9703674453","0,4254413229","0,1982548343","0,238062266","0,1231314464","0,9355531522","0,8349887427","0,8495204444","0,4697556971","0,2927585355","0,9401792573","0,4713986696","0,7318585173","0,8901625034","0,4648907303","0,7038965607","0,431493608","0,2775725528","0,3179733792","0,420785148","0,2010190707","0,702280971","0,7721528125","0,09415780099","0,6420128172","0,1911498805","0,762870164","0,9730599552"
Income Producing CRE,Requirements not met,"0,2852441746","0,4947626969","0,5428739281","0,9508688095","0,0915716471","0,9586884163","0,9941362661","0,4549321748","0,1317986797","0,8407228175","0,917110647","0,9236635832","0,5784175845","0,01115881101","0,1093690297","0,9570755891","0,1724654408","0,1926142099","0,6065297406","0,6004606358","0,7581708956","0,4456827745","0,758845476","0,5872888184","0,5522174818","0,4438968955","0,9694860016","0,9617030413","0,3096408053","0,3721384905","0,6417869507","0,2726592476","0,6704481076","0,4125180912"
,"land acquisition, development and construction; of which:","0,2952414907","0,123963775","0,9717787491","0,5780633033","0,4294546302","0,8889073454","0,4608956352","0,9544179412","0,01787606782","0,184075136","0,1832467258","0,9062710357","0,6328178801","0,8312757169","0,1411623488","0,6369361078","0,813253237","0,4398346084","0,4941946971","0,08124920321","0,3363007898","0,6044496608","0,1038094209","0,1653315895","0,2410944856","0,6179514918","0,4939910567","0,6941266694","0,3825346336","0,6739747967","0,7069183089","0,6722835454","0,6097996264","0,6722423809"
Land Acquisition,150% risk weight,"0,7789150528","0,4447589622","0,07760309419","0,8797118897","0,6625798743","0,3923425277","0,06506621001","0,05339533921","0,1189982187","0,5297135318","0,07081029272","0,1492922138","0,3861979442","0,8911746758","0,07273619254","0,677099049","0,3206771436","0,1324086697","0,2304250832","0,01147007861","0,8411606769","0,2525744132","0,4260500425","0,09704502967","0,4787533331","0,5381638256","0,2149833522","0,1718226161","0,0612301509","0,1198853168","0,138156116","0,3596185118","0,3843996283","0,4918476781"
Land Acquisition,100% risk weight,"0,5295588231","0,8873085526","0,1516875266","0,110679902","0,2479077657","0,8308732764","0,7363126342","0,09399514248","0,1979164704","0,5883312505","0,03998377974","0,024417476","0,8296877704","0,6914842918","0,6014425052","0,1464520362","0,8302489886","0,9605160985","0,619981462","0,346237149","0,1721003976","0,8276397055","0,9223187716","0,9879428677","0,7089027579","0,6531430707","0,7683137382","0,6418139265","0,246679175","0,7573744129","0,7271218089","0,9220274203","0,1644146527","0,983028325"
Default Expo,Defaulted exposures; of which:,"0,3685976414","0,6811758652","0,4062866686","0,0425296571","0,3839210304","0,8508101406","0,9072024574","0,8286087743","0,7512346149","0,8822761514","0,2707085495","0,4268532578","0,2073428238","0,9643269389","0,3063683138","0,6294462802","0,3285191722","0,4309051375","0,8468973133","0,7572071772","0,8494137285","0,7189897055","0,4055972343","0,09912635151","0,1078430509","0,06781105791","0,3462228614","0,5844334643","0,7354876628","0,1968917057","0,7736865162","0,1106916325","0,4928434093","0,2365024839"
Default Expo,below 20% provisioning rate,"0,98353348","0,04720189128","0,1891208216","0,2735367924","0,4972679776","0,9006931399","0,6280389843","0,5462799074","0,2918142955","0,2393660423","0,893972058","0,09447493329","0,1419899605","0,06370774637","0,4756712079","0,707262294","0,7398740578","0,08367479304","0,2637110273","0,4873206829","0,02119006247","0,3178898819","0,04932573918","0,1486439803","0,9676149982","0,439341591","0,6573291851","0,01597576241","0,7533316352","0,6912259161","0,1112201959","0,3332313022","0,3277733248","0,4905136378"
,Check: row125 ≤ row 124,"0,03340472957","0,7047630751","0,6193798062","0,453656238","0,552818058","0,6118350763","0,9740234399","0,06914455142","0,4803005507","0,7336223358","0,9585758507","0,6311807817","0,3382907982","0,9372111168","0,4385218495","0,2512584571","0,05562257807","0,6517047279","0,7618895095","0,915071813","0,7151496309","0,1652526892","0,09519521623","0,4959512136","0,6452243912","0,3522452895","0,5925767994","0,6849904937","0,9189039625","0,8283843739","0,3394293436","0,3731748425","0,3062019749","0,8955998808"
,Failed trades and non-DVP transactions,"0,1281450125","0,6207902312","0,1514899506","0,5879423623","0,1948968255","0,99990904","0,5019330053","0,7741691379","0,5830613899","0,6279479657","0,1805717835","0,682118793","0,476685981","0,1060737664","0,6354501604","0,5153338924","0,05414236293","0,5589993968","0,7123933853","0,1888775243","0,3456780205","0,155215241","0,3860396432","0,07247483432","0,4617455438","0,0177202193","0,9370433907","0,7172485156","0,4144305344","0,4255522401","0,1791186775","0,1641012999","0,3060566424","0,9534870938"
,Other assets,"0,5278688985","0,09056593515","0,8965457727","0,6390152572","0,617480536","0,02198126055","0,5445104979","0,2376202712","0,8195878293","0,5054830592","0,4911611884","0,5375229756","0,659147604","0,2104755804","0,1317487205","0,007448464335","0,408942952","0,6019508458","0,04068974847","0,8319398717","0,4011561707","0,7940233844","0,1081924852","0,8211204884","0,4625350388","0,08614816087","0,7246242381","0,5983078612","0,9574358953","0,4790489915","0,7884082468","0,8766676077","0,3575971835","0,4097678574"
,Total standardised approach,"0,7666999414","0,8086552174","0,1199378463","0,7541844641","0,666258397","0,8048530934","0,9908097752","0,4857544248","0,4101386343","0,7462565283","0,9569078388","0,86675237","0,9471560443","0,9887146212","0,3308694386","0,05925161273","0,8530719142","0,346155594","0,5410000902","0,8160211301","0,1099762041","0,6984551731","0,6762035331","0,9339012913","0,2618959443","0,9494765066","0,2630486886","0,1829151736","0,5620159469","0,9138024742","0,7482702637","0,5264538553","0,8567817518","0,1608780996"
,Check: cell I124 = cell N129,"0,5135789077","0,4255983692","0,0002318182828","0,04116775371","0,8087654843","0,6778566189","0,1964868275","0,3916733228","0,8260959604","0,4669322389","0,8333423333","0,2470342286","0,3372709823","0,7912868158","0,9467520868","0,3953918129","0,2664993376","0,193727756","0,8888032932","0,06120741815","0,6833057343","0,1686794424","0,5040136946","0,5890747595","0,4362201141","0,7754068968","0,9500045414","0,9630776389","0,4336046637","0,2175985566","0,4993717195","0,03782265817","0,7155697241","0,9202226804"
,Memo item: SA exposures reported in the banking book in regulatory reporting but no longer included above due to the application of the revised market risk framework definition of TB-BB boundary,"0,5472299401","0,3909878052","0,7392672771","0,8208170373","0,05938860493","0,1635405986","0,0501086785","0,1852580467","0,2956555239","0,5562922946","0,1922855017","0,769624696","0,9402102383","0,9243224308","0,8491295244","0,1511344565","0,0001285018558","0,4900150211","0,557082799","0,1042117246","0,0756045839","0,6579263892","0,9749647998","0,8977419146","0,5794734451","0,1934503431","0,4147496286","0,3211890686","0,57854858","0,7485871845","0,2658414677","0,3237631222","0,8872991481","0,6214442764"
,Memo item: SA exposures reported in the trading book in regulatory reporting that are included above due to the application of the revised market risk framework definition of TB-BB boundary,"0,723357956","0,4076623292","0,6764181241","0,4319873213","0,7612111765","0,8785170219","0,9402635802","0,1297998393","0,7556503676","0,2168327804","0,2327870104","0,7596698093","0,847816593","0,3300833596","0,2239992143","0,9132383384","0,007776382113","0,9745804734","0,6519672867","0,1898570529","0,114547284","0,3158844451","0,8574857745","0,8159878056","0,9201233498","0,5087202894","0,2426190229","0,6864057452","0,1522915196","0,3092473779","0,9025345048","0,1823391779","0,1018508323","0,5811629975"
,"Sovereigns, PSEs, MDBs; of which:","0,9172894672","0,04850851095","0,6023274264","0,649513394","0,2575920826","0,6566190403","0,9507973574","0,4566375776","0,3978838705","0,5498392785","0,003725741528","0,87862616","0,6035644625","0,8966622453","0,7134007876","0,9749312685","0,8338003881","0,6730054106","0,9782359041","0,7265508932","0,4472051017","0,09408906541","0,9790636658","0,6737204498","0,7670513306","0,02847453521","0,631752052","0,6598633743","0,5247231632","0,6339163313","0,8608858503","0,1113972243","0,2362477838","0,06112845879"
,sovereigns,"0,5890626083","0,6116210454","0,8551855257","0,7288453809","0,8798178541","0,5059081915","0,05536264809","0,8171098623","0,3667972767","0,3723147552","0,6073481221","0,4114870735","0,001166928578","0,4346461301","0,6676601793","0,06264607504","0,4020897355","0,4039279978","0,3146783749","0,4110544042","0,4315388762","0,8720482981","0,709244098","0,07208166086","0,4228403859","0,1607722004","0,2547700248","0,7022598034","0,9178343179","0,3054816619","0,8954387157","0,1199003058","0,06148838703","0,02974911907"
,PSEs treated as sovereigns as per CRE20.12,"0,8470860057","0,415986988","0,8706465229","0,2032675968","0,426128002","0,8482209183","0,6906833627","0,6930421198","0,9041513809","0,3540272119","0,04683434648","0,4855831893","0,8948914133","0,4060584424","0,2998975838","0,3393545108","0,05006123991","0,541893541","0,8659260064","0,1678172453","0,3742336574","0,3577283532","0,6542538263","0,7774236962","0,7286776012","0,07060558137","0,1966290522","0,3893147066","0,8031098889","0,1217490953","0,7840105054","0,02128943874","0,1985816189","0,3531376527"
,other PSEs,"0,4437580729","0,3513267481","0,9161125002","0,2526037242","0,2554461436","0,217395368","0,4532869754","0,225403371","0,2504419375","0,4997181778","0,3652357475","0,3416799733","0,537148238","0,9358943652","0,9396613065","0,9310630403","0,1828635427","0,7124147705","0,685003823","0,7801384788","0,3116803691","0,0870814027","0,6087696759","0,3229666022","0,7657353738","0,1695127661","0,2929300529","0,402237799","0,7613600409","0,2446531928","0,3956934819","0,6563945101","0,7187514661","0,779087262"
,MDBs,"0,9835640605","0,523919543","0,8832764628","0,2192837392","0,3440695947","0,719048059","0,5408596959","0,9599024533","0,7492524159","0,9725771761","0,4751792447","0,3307937993","0,8400465342","0,03224149925","0,6285427774","0,3942330396","0,2592963651","0,03380473552","0,7230799063","0,8117057565","0,988476377","0,1865440514","0,4432399651","0,5120148753","0,01650777556","0,7574528064","0,8111806423","0,1088658142","0,4189499533","0,1611990946","0,8474857929","0,5180340462","0,8682267584","0,7255729398"
,Banks (excluding covered bonds); of which:,"0,6851970982","0,2014702442","0,5072545415","0,8974926325","0,537588942","0,5043099779","0,1400298154","0,02545735075","0,7986749016","0,3601558272","0,2689879364","0,9743937655","0,6385931776","0,6384167294","0,8411606062","0,50416979","0,5354765593","0,9447532758","0,9647870334","0,377655006","0,5708514986","0,8742903195","0,203052123","0,3032248452","0,7636848441","0,3495054117","0,9226620347","0,2370410829","0,05285000491","0,7973399923","0,04384506428","0,5716287005","0,9879794279","0,5030886836"
,Claims on banks belonging to the same institutional protection scheme ,"0,8981451858","0,9009775047","0,7820793875","0,5263065851","0,3548541602","0,003984608306","0,1154150382","0,4692806192","0,9886460245","0,4589789547","0,3424300938","0,1066010229","0,06599462341","0,7855859993","0,3528815333","0,6941140061","0,4225391269","0,6746833493","0,886841228","0,7665580667","0,1391842789","0,7374824331","0,7847007643","0,8484323591","0,214192626","0,9155872392","0,3783860097","0,9692289895","0,2729248068","0,4201031633","0,6811603536","0,1582313392","0,1273922944","0,78368845"
,ECRA - jurisdictions where ratings are allowed; of which:,"0,501020266","0,1924917668","0,6505280795","0,9558610468","0,5856141843","0,03789379788","0,6484510413","0,5050411735","0,150706791","0,9724136999","0,7288482933","0,05574627233","0,4916972119","0,8519504071","0,9622702057","0,616255897","0,9149209011","0,2769859722","0,9125871502","0,7690557887","0,4827239894","0,332342137","0,8375942252","0,5722754019","0,0764360578","0,8316111721","0,2132064837","0,09172995785","0,7917988293","0,4794989702","0,4966800313","0,4753411639","0,08472745682","0,02645208717"
,ECRA (long term); of which:,"0,04042988859","0,8526868121","0,623294444","0,5639871047","0,6606604641","0,9126885764","0,3553062269","0,5890167915","0,8843802459","0,2630892373","0,5924671732","0,5540660021","0,7582114926","0,1528781636","0,846077288","0,3248421019","0,9567214782","0,6741569129","0,7763300396","0,2746831264","0,8426196224","0,1513330844","0,2416741508","0,5528127652","0,7271239389","0,4864118803","0,7162679743","0,9142382675","0,1245951499","0,7410554269","0,7119095325","0,9881524138","0,6441689271","0,1550252178"
ECRA_LT,AAA to AA- ,"0,4508467471","0,8801259653","0,7527834527","0,08469973355","0,888570926","0,8720503324","0,6811201387","0,2400786396","0,02285111538","0,5605616941","0,003920519352","0,01989800965","0,5404422884","0,06333275316","0,3591827611","0,4537692328","0,2559288473","0,9680958975","0,5588781157","0,4517314712","0,4742976143","0,9719459641","0,07579382066","0,1417113687","0,8053971949","0,5207547823","0,4969871046","0,9846364956","0,7011877527","0,4346896095","0,9046959512","0,5032925131","0,59313175","0,4950858682"
ECRA_LT,A+ to A-,"0,5235527146","0,6100100145","0,8695587355","0,196838053","0,05716823635","0,2097696895","0,125047813","0,4561342689","0,1981628799","0,2990240211","0,9933801884","0,9444687223","0,5259102508","0,4716458386","0,0380201068","0,704035306","0,9863462507","0,5284501801","0,6304549511","0,8338648401","0,5866671649","0,1568683438","0,8243427151","0,7574609769","0,3666893358","0,9079823542","0,2477308562","0,9375307617","0,6074729289","0,1407501771","0,6677955633","0,2178944498","0,4145687347","0,9753223864"
ECRA_LT,BBB+ to BBB-,"0,3735087097","0,4240358919","0,9959055181","0,573771264","0,5726198058","0,6620534773","0,3801789443","0,332807199","0,5526282044","0,4697793271","0,338103094","0,1399795553","0,06294045639","0,9455058718","0,4149553983","0,2118047993","0,3645303738","0,9834046938","0,3793711512","0,4991680088","0,5376250562","0,04239419951","0,7641019439","0,374051001","0,0932816368","0,3805271711","0,5664546184","0,8242150515","0,8926702507","0,8527070906","0,2162290448","0,08030724839","0,4374476538","0,9369247668"
ECRA_LT,BB+ to B-,"0,1364329614","0,1677727048","0,2091265605","0,2782389911","0,4051033583","0,2902680803","0,03538340145","0,6069700653","0,8356762389","0,7749445995","0,4797553845","0,1737550515","0,9024802859","0,01920775272","0,9180578006","0,9344312826","0,8269162818","0,4053009387","0,363338241","0,6226546434","0,9975148018","0,2700704934","0,02483329525","0,817918517","0,2599933478","0,4852778647","0,4151021494","0,7125747318","0,2434818677","0,3090117658","0,3419152095","0,2877263484","0,6439672966","0,2439487951"
ECRA_LT,below B-,"0,4392950255","0,3203234291","0,6792442356","0,2132599844","0,4105341918","0,5790738785","0,8067808318","0,942132756","0,6770051554","0,7470185662","0,1531333755","0,8988290252","0,05782885827","0,3127099879","0,5531320271","0,8697743515","0,4114014911","0,8712219655","0,8761362251","0,5103521932","0,02598732481","0,9856327624","0,583332331","0,05256943323","0,5600068199","0,1564386419","0,1761111701","0,8537606951","0,3703068286","0,2725851435","0,5168791274","0,5882417436","0,8293961267","0,3133119471"
,ECRA (short term); of which:,"0,02438545656","0,6730256083","0,0534693612","0,404739521","0,8400077171","0,5782760252","0,5062447417","0,7767822107","0,1821145259","0,7827219935","0,41002685","0,1196058971","0,3522830666","0,6635257085","0,5710033765","0,2426927599","0,9591210898","0,4125765065","0,9233569592","0,8824974812","0,2860118442","0,8268416272","0,1649151622","0,5687510938","0,5960741746","0,7326558587","0,1207408366","0,8589106726","0,4101342878","0,9217880456","0,1424327915","0,03197217486","0,3765146366","0,505443018"
